System,Family,Eads_DFT,Eads_GNN,Error,Absolute Error,Metal,Adsorbate atoms,Err per atom
Ag-mol16,Polyurethanes,-0.753088969999993,0.0,-0.753088969999993,0.753088969999993,Ag,9.0,0.08367655222222144
Ag-mol17,Polyurethanes,-0.806301189999999,-0.07327399268979207,-0.7330271973102069,0.7330271973102069,Ag,13.0,0.05638670748540053
Ag-mol18,Polyurethanes,-0.773150240000007,-0.024994653911562636,-0.7481555860884443,0.7481555860884443,Ag,13.0,0.0575504296991111
Ag-mol19,Polyurethanes,-0.844284850000008,-0.09510338475229219,-0.7491814652477158,0.7491814652477158,Ag,17.0,0.04406949795574799
Ag-mol41,Polyurethanes,-1.10947642999997,-0.11877008398005273,-0.9907063460199172,0.9907063460199172,Ag,20.0,0.04953531730099586
Cu-mol16,Polyurethanes,-1.17001528,-0.20690625443239696,-0.9631090255676031,0.9631090255676031,Cu,9.0,0.10701211395195591
Cu-mol17,Polyurethanes,-0.980651429999995,0.0,-0.980651429999995,0.980651429999995,Cu,13.0,0.075434725384615
Cu-mol18,Polyurethanes,-0.973779580000013,0.0,-0.973779580000013,0.973779580000013,Cu,13.0,0.07490612153846253
Cu-mol19,Polyurethanes,-0.963862830000011,0.0,-0.963862830000011,0.963862830000011,Cu,17.0,0.056697813529412416
Cu-mol41,Polyurethanes,-1.4391273,0.0,-1.4391273,1.4391273,Cu,20.0,0.071956365
Pt-PE,Plastics,-1.17226367999999,0.04773360397666693,-1.2199972839766569,1.2199972839766569,Pt,12.0,0.10166644033138807
Pt-Ppit,Plastics,-0.929283169999962,0.0,-0.929283169999962,0.929283169999962,Pt,15.0,0.0619522113333308
Pt-Ppst,Plastics,-0.864360659999988,0.0,-0.864360659999988,0.864360659999988,Pt,15.0,0.0576240439999992
Pt-PS,Plastics,-2.95170394000002,-2.843205551500432,-0.1084983884995876,0.1084983884995876,Pt,16.0,0.006781149281224225
Pt-PET,Plastics,-2.85803695999999,-1.9879845439718338,-0.8700524160281562,0.8700524160281562,Pt,30.0,0.02900174720093854
Ru-PE,Plastics,-0.18109419999999,0.0,-0.18109419999999,0.18109419999999,Ru,12.0,0.0150911833333325
Ru-Ppit,Plastics,0.024584640000001,0.0,0.024584640000001,0.024584640000001,Ru,15.0,0.0016389760000000667
Ru-Ppst,Plastics,0.078114079999978,0.0,0.078114079999978,0.078114079999978,Ru,15.0,0.005207605333331867
Ru-PS,Plastics,-3.10376350000001,-4.07853994389734,0.9747764438973299,0.9747764438973299,Ru,16.0,0.06092352774358312
Ru-PET,Plastics,-4.78278284000004,-4.912013419583673,0.12923057958363238,0.12923057958363238,Ru,30.0,0.004307685986121079
Ni-mol1,Biomass,-2.86472025999996,-3.659242800276843,0.794522540276883,0.794522540276883,Ni,23.0,0.03454445827290795
Ni-mol2,Biomass,-2.38928342999998,-3.7836521438730415,1.3943687138730616,1.3943687138730616,Ni,23.0,0.060624726690133114
Ni-mol3,Biomass,-2.78652467000001,-2.9494601173646515,0.16293544736464138,0.16293544736464138,Ni,13.0,0.01253349595112626
Ni-mol4,Biomass,-1.9178387,-1.6261623705358943,-0.2916763294641056,0.2916763294641056,Ni,14.0,0.0208340235331504
Ni-mol5,Biomass,-1.59848288000001,-1.9787525302454014,0.3802696502453915,0.3802696502453915,Ni,13.0,0.02925151155733781
Ru-mol1,Biomass,-3.64847804999999,-4.452522907828097,0.8040448578281074,0.8040448578281074,Ru,23.0,0.03495847207948293
Ru-mol2,Biomass,-3.15224194999996,-4.752495137086953,1.600253187086993,1.600253187086993,Ru,23.0,0.06957622552552144
Ru-mol3,Biomass,-3.41352978,-3.3746602924220497,-0.0388694875779505,0.0388694875779505,Ru,13.0,0.002989960582919269
Ru-mol4,Biomass,-2.49866758000002,-2.5332554709530086,0.03458789095298842,0.03458789095298842,Ru,14.0,0.002470563639499173
Ru-mol5,Biomass,-1.99247038000001,-2.4510587142576696,0.45858833425765955,0.45858833425765955,Ru,13.0,0.03527602571212766
Au-mol16,Polyurethanes,-0.503001590000054,-0.10556784957225318,-0.3974337404278008,0.3974337404278008,Au,9.0,0.044159304491977865
Au-mol17,Polyurethanes,-0.400685600000088,-0.0184458362928126,-0.3822397637072754,0.3822397637072754,Au,13.0,0.029403058746713492
Au-mol18,Polyurethanes,-0.360112360000016,0.0,-0.360112360000016,0.360112360000016,Au,13.0,0.027700950769232
Au-mol19,Polyurethanes,-0.386405230000037,0.0,-0.386405230000037,0.386405230000037,Au,17.0,0.022729719411766883
Au-mol41,Polyurethanes,-0.837297020000051,-0.07638468105869833,-0.7609123389413527,0.7609123389413527,Au,20.0,0.03804561694706764
