System,Family,Eads_DFT,Eads_GNN,Error,Absolute Error,Metal,Adsorbate atoms,Err per atom
Ag-mol16,Polyurethanes,-0.753088969999993,0.12092792959165877,-0.8740168995916517,0.8740168995916517,Ag,9.0,0.09711298884351686
Ag-mol17,Polyurethanes,-0.806301189999999,-0.7683407290807054,-0.037960460919293615,0.037960460919293615,Ag,13.0,0.002920035455330278
Ag-mol18,Polyurethanes,-0.773150240000007,-0.3964050895257003,-0.3767451504743067,0.3767451504743067,Ag,13.0,0.028980396190331284
Ag-mol19,Polyurethanes,-0.844284850000008,-1.061199954041001,0.21691510404099312,0.21691510404099312,Ag,17.0,0.01275971200241136
Ag-mol41,Polyurethanes,-1.10947642999997,-1.19823809024237,0.08876166024239995,0.08876166024239995,Ag,20.0,0.0044380830121199975
Cu-mol16,Polyurethanes,-1.17001528,0.617593249439949,-1.787608529439949,1.787608529439949,Cu,9.0,0.19862316993777213
Cu-mol17,Polyurethanes,-0.980651429999995,-0.7037616571617491,-0.2768897728382459,0.2768897728382459,Cu,13.0,0.021299213295249683
Cu-mol18,Polyurethanes,-0.973779580000013,-0.3469592894907123,-0.6268202905093007,0.6268202905093007,Cu,13.0,0.04821694542379236
Cu-mol19,Polyurethanes,-0.963862830000011,-0.6236345769186187,-0.3402282530813924,0.3402282530813924,Cu,17.0,0.02001342665184661
Cu-mol41,Polyurethanes,-1.4391273,-1.1961920571374662,-0.24293524286253376,0.24293524286253376,Cu,20.0,0.012146762143126688
Pt-PE,Plastics,-1.17226367999999,-0.7183142980294122,-0.45394938197057777,0.45394938197057777,Pt,12.0,0.03782911516421481
Pt-Ppit,Plastics,-0.929283169999962,0.0,-0.929283169999962,0.929283169999962,Pt,15.0,0.0619522113333308
Pt-Ppst,Plastics,-0.864360659999988,0.0,-0.864360659999988,0.864360659999988,Pt,15.0,0.0576240439999992
Pt-PS,Plastics,-2.95170394000002,-3.405778781311028,0.4540748413110083,0.4540748413110083,Pt,16.0,0.028379677581938018
Pt-PET,Plastics,-2.85803695999999,-1.8885622867422285,-0.9694746732577615,0.9694746732577615,Pt,30.0,0.032315822441925386
Ru-PE,Plastics,-0.18109419999999,-0.035639684759615875,-0.14545451524037412,0.14545451524037412,Ru,12.0,0.01212120960336451
Ru-Ppit,Plastics,0.024584640000001,0.0,0.024584640000001,0.024584640000001,Ru,15.0,0.0016389760000000667
Ru-Ppst,Plastics,0.078114079999978,0.0,0.078114079999978,0.078114079999978,Ru,15.0,0.005207605333331867
Ru-PS,Plastics,-3.10376350000001,-3.4654363141398505,0.3616728141398404,0.3616728141398404,Ru,16.0,0.022604550883740027
Ru-PET,Plastics,-4.78278284000004,-4.156248978002566,-0.6265338619974745,0.6265338619974745,Ru,30.0,0.020884462066582486
Ni-mol1,Biomass,-2.86472025999996,-2.505745407924678,-0.3589748520752818,0.3589748520752818,Ni,23.0,0.015607602264142687
Ni-mol2,Biomass,-2.38928342999998,-2.1812371843958545,-0.20804624560412543,0.20804624560412543,Ni,23.0,0.009045488939309801
Ni-mol3,Biomass,-2.78652467000001,-1.6369370803012941,-1.149587589698716,1.149587589698716,Ni,13.0,0.08842981459220892
Ni-mol4,Biomass,-1.9178387,-1.3362715939001646,-0.5815671060998353,0.5815671060998353,Ni,14.0,0.04154050757855966
Ni-mol5,Biomass,-1.59848288000001,-1.5125530137081,-0.0859298662919099,0.0859298662919099,Ni,13.0,0.006609989714762301
Ru-mol1,Biomass,-3.64847804999999,-3.5814611373720595,-0.0670169126279303,0.0670169126279303,Ru,23.0,0.0029137788099100133
Ru-mol2,Biomass,-3.15224194999996,-2.947504231275616,-0.2047377187243442,0.2047377187243442,Ru,23.0,0.008901639944536705
Ru-mol3,Biomass,-3.41352978,-2.409876775685319,-1.003653004314681,1.003653004314681,Ru,13.0,0.07720407725497545
Ru-mol4,Biomass,-2.49866758000002,-2.164426534020407,-0.334241045979613,0.334241045979613,Ru,14.0,0.023874360427115215
Ru-mol5,Biomass,-1.99247038000001,-1.4439648228674002,-0.5485055571326098,0.5485055571326098,Ru,13.0,0.04219273516404691
Au-mol16,Polyurethanes,-0.503001590000054,-0.12147169514656753,-0.38152989485348643,0.38152989485348643,Au,9.0,0.04239221053927627
Au-mol17,Polyurethanes,-0.400685600000088,-0.8365326162119118,0.43584701621182376,0.43584701621182376,Au,13.0,0.033526693554755675
Au-mol18,Polyurethanes,-0.360112360000016,-0.18551621787594286,-0.17459614212407315,0.17459614212407315,Au,13.0,0.01343047247108255
Au-mol19,Polyurethanes,-0.386405230000037,0.0,-0.386405230000037,0.386405230000037,Au,17.0,0.022729719411766883
Au-mol41,Polyurethanes,-0.837297020000051,-0.5969808483629038,-0.24031617163714725,0.24031617163714725,Au,20.0,0.012015808581857362
