System,Family,Eads_DFT,Eads_GNN,Error,Absolute Error,Metal,Adsorbate atoms,Err per atom
Ag-mol16,Polyurethanes,-0.753088969999993,0.0,-0.753088969999993,0.753088969999993,Ag,9.0,0.08367655222222144
Ag-mol17,Polyurethanes,-0.806301189999999,0.22939052825677209,-1.035691718256771,1.035691718256771,Ag,13.0,0.07966859371205931
Ag-mol18,Polyurethanes,-0.773150240000007,0.5188482670055237,-1.2919985070055306,1.2919985070055306,Ag,13.0,0.09938450053888698
Ag-mol19,Polyurethanes,-0.844284850000008,0.40226112223172095,-1.246545972231729,1.246545972231729,Ag,17.0,0.07332623366068994
Ag-mol41,Polyurethanes,-1.10947642999997,0.2915315309946891,-1.401007960994659,1.401007960994659,Ag,20.0,0.07005039804973295
Cu-mol16,Polyurethanes,-1.17001528,0.35483676797593944,-1.5248520479759395,1.5248520479759395,Cu,9.0,0.16942800533065994
Cu-mol17,Polyurethanes,-0.980651429999995,0.0,-0.980651429999995,0.980651429999995,Cu,13.0,0.075434725384615
Cu-mol18,Polyurethanes,-0.973779580000013,0.0,-0.973779580000013,0.973779580000013,Cu,13.0,0.07490612153846253
Cu-mol19,Polyurethanes,-0.963862830000011,0.0,-0.963862830000011,0.963862830000011,Cu,17.0,0.056697813529412416
Cu-mol41,Polyurethanes,-1.4391273,0.0,-1.4391273,1.4391273,Cu,20.0,0.071956365
Pt-PE,Plastics,-1.17226367999999,0.2660911936618504,-1.4383548736618403,1.4383548736618403,Pt,12.0,0.1198629061384867
Pt-Ppit,Plastics,-0.929283169999962,0.0,-0.929283169999962,0.929283169999962,Pt,15.0,0.0619522113333308
Pt-Ppst,Plastics,-0.864360659999988,0.0,-0.864360659999988,0.864360659999988,Pt,15.0,0.0576240439999992
Pt-PS,Plastics,-2.95170394000002,-2.781055453182489,-0.17064848681753064,0.17064848681753064,Pt,16.0,0.010665530426095665
Pt-PET,Plastics,-2.85803695999999,-1.6765700750402175,-1.1814668849597725,1.1814668849597725,Pt,30.0,0.039382229498659084
Ru-PE,Plastics,-0.18109419999999,0.0,-0.18109419999999,0.18109419999999,Ru,12.0,0.0150911833333325
Ru-Ppit,Plastics,0.024584640000001,0.0,0.024584640000001,0.024584640000001,Ru,15.0,0.0016389760000000667
Ru-Ppst,Plastics,0.078114079999978,0.0,0.078114079999978,0.078114079999978,Ru,15.0,0.005207605333331867
Ru-PS,Plastics,-3.10376350000001,-3.3297099359333515,0.2259464359333414,0.2259464359333414,Ru,16.0,0.014121652245833838
Ru-PET,Plastics,-4.78278284000004,-4.2816533414588775,-0.5011294985411627,0.5011294985411627,Ru,30.0,0.01670431661803876
Ni-mol1,Biomass,-2.86472025999996,-2.839494554849807,-0.025225705150152766,0.025225705150152766,Ni,23.0,0.0010967697891370767
Ni-mol2,Biomass,-2.38928342999998,-3.24211950028257,0.8528360702825899,0.8528360702825899,Ni,23.0,0.0370798291427213
Ni-mol3,Biomass,-2.78652467000001,-2.6537537151380093,-0.13277095486200086,0.13277095486200086,Ni,13.0,0.010213150374000066
Ni-mol4,Biomass,-1.9178387,-1.4319080679197214,-0.48593063208027854,0.48593063208027854,Ni,14.0,0.03470933086287704
Ni-mol5,Biomass,-1.59848288000001,-1.3959623356568045,-0.20252054434320543,0.20252054434320543,Ni,13.0,0.015578503411015802
Ru-mol1,Biomass,-3.64847804999999,-4.178163831922575,0.5296857819225851,0.5296857819225851,Ru,23.0,0.023029816605329788
Ru-mol2,Biomass,-3.15224194999996,-3.5930633600073634,0.44082141000740327,0.44082141000740327,Ru,23.0,0.019166148261191448
Ru-mol3,Biomass,-3.41352978,-2.7233985713974107,-0.6901312086025895,0.6901312086025895,Ru,13.0,0.05308701604635303
Ru-mol4,Biomass,-2.49866758000002,-2.3875988524159766,-0.11106872758404363,0.11106872758404363,Ru,14.0,0.007933480541717402
Ru-mol5,Biomass,-1.99247038000001,-2.004856844920141,0.012386464920131068,0.012386464920131068,Ru,13.0,0.000952804993856236
Au-mol16,Polyurethanes,-0.503001590000054,0.3490246923392988,-0.8520262823393527,0.8520262823393527,Au,9.0,0.09466958692659475
Au-mol17,Polyurethanes,-0.400685600000088,0.10084269574872451,-0.5015282957488125,0.5015282957488125,Au,13.0,0.038579099672985576
Au-mol18,Polyurethanes,-0.360112360000016,0.0,-0.360112360000016,0.360112360000016,Au,13.0,0.027700950769232
Au-mol19,Polyurethanes,-0.386405230000037,0.0,-0.386405230000037,0.386405230000037,Au,17.0,0.022729719411766883
Au-mol41,Polyurethanes,-0.837297020000051,0.18496771540958434,-1.0222647354096353,1.0222647354096353,Au,20.0,0.05111323677048176
